,Estimated number of clusters,Parameters,Silhouette Coefficient
178,5,"{'eps': 0.9, 'min_samples': 19}",-0.07358648819978274
179,5,"{'eps': 0.9, 'min_samples': 20}",-0.07358648819978274
180,155,"{'eps': 1.0, 'min_samples': 1}",0.381550390534921
181,120,"{'eps': 1.0, 'min_samples': 2}",0.3861078518536908
182,70,"{'eps': 1.0, 'min_samples': 3}",0.2860902890908104
183,55,"{'eps': 1.0, 'min_samples': 4}",0.23365365854935222
184,45,"{'eps': 1.0, 'min_samples': 5}",0.1899677800224727
185,35,"{'eps': 1.0, 'min_samples': 6}",0.16273859892446055
186,20,"{'eps': 1.0, 'min_samples': 7}",0.06372507215356678
187,15,"{'eps': 1.0, 'min_samples': 8}",0.028286233251711198
188,15,"{'eps': 1.0, 'min_samples': 9}",0.028286233251711198
189,15,"{'eps': 1.0, 'min_samples': 10}",0.02450315707040806
190,10,"{'eps': 1.0, 'min_samples': 11}",-0.021521214959131015
191,10,"{'eps': 1.0, 'min_samples': 12}",-0.0312980116138631
192,10,"{'eps': 1.0, 'min_samples': 13}",-0.06565095044866524
193,10,"{'eps': 1.0, 'min_samples': 14}",-0.06565095044866524
194,5,"{'eps': 1.0, 'min_samples': 15}",-0.05652707152605597
195,5,"{'eps': 1.0, 'min_samples': 16}",-0.05652707152605597
196,5,"{'eps': 1.0, 'min_samples': 17}",-0.05652707152605597
197,5,"{'eps': 1.0, 'min_samples': 18}",-0.05652707152605597
198,5,"{'eps': 1.0, 'min_samples': 19}",-0.05652707152605597
199,5,"{'eps': 1.0, 'min_samples': 20}",-0.05652707152605597
