,Method,Model,Min. cluster size,Max. cluster size,Clusters,Silhouette Coefficient
110,DBSCAN,{'eps': 0.6},5,94,18,0.526868965130631
111,DBSCAN,{'eps': 0.7},5,88,19,0.5573330747692327
112,DBSCAN,{'eps': 0.8},5,88,19,0.5573330747692327
113,DBSCAN,{'eps': 0.9},5,88,18,0.5645127897518883
114,DBSCAN,{'eps': 1.0},5,82,19,0.5893812647572341
115,DBSCAN,{'eps': 1.1},5,82,19,0.5893812647572341
116,DBSCAN,{'eps': 1.2},5,82,19,0.5893812647572341
117,DBSCAN,{'eps': 1.3},5,82,19,0.5893812647572341
118,DBSCAN,{'eps': 1.4},5,82,19,0.5893812647572341
119,DBSCAN,{'eps': 1.5},5,77,20,0.6060043949336565
120,DBSCAN,{'eps': 1.6},5,77,20,0.6060043949336565
121,DBSCAN,{'eps': 1.7},5,77,20,0.6060043949336565
122,DBSCAN,{'eps': 1.8},5,77,20,0.6060043949336565
123,DBSCAN,{'eps': 1.9},5,77,20,0.6060043949336565
124,DBSCAN,{'eps': 2.0},5,77,20,0.6060043949336565
125,DBSCAN,{'eps': 2.1},5,77,20,0.6060043949336565
126,DBSCAN,{'eps': 2.2},5,77,20,0.6060043949336565
127,DBSCAN,{'eps': 2.3},5,77,20,0.6060043949336565
128,DBSCAN,{'eps': 2.4},5,77,20,0.6060043949336565
129,DBSCAN,{'eps': 2.5},5,67,22,0.6429571937036649
130,DBSCAN,{'eps': 2.6},5,67,22,0.6429571937036649
131,DBSCAN,{'eps': 2.7},5,67,22,0.6429571937036649
132,DBSCAN,{'eps': 2.8},5,67,22,0.6429571937036649
133,DBSCAN,{'eps': 2.9},5,67,22,0.6429571937036649
134,DBSCAN,{'eps': 3.0},5,67,22,0.6429571937036649
135,DBSCAN,{'eps': 3.1},5,67,22,0.6429571937036649
136,DBSCAN,{'eps': 3.2},5,51,23,0.6842570906428985
137,DBSCAN,{'eps': 3.3},5,51,23,0.6842570906428985
138,DBSCAN,{'eps': 3.4},5,51,23,0.6842570906428985
139,DBSCAN,{'eps': 3.5},5,47,23,0.6967376559089434
140,DBSCAN,{'eps': 3.6},5,47,23,0.6967376559089434
141,DBSCAN,{'eps': 3.7},5,47,23,0.6967376559089434
142,DBSCAN,{'eps': 3.8},5,47,23,0.6967376559089434
143,DBSCAN,{'eps': 3.9},5,47,23,0.6967376559089434
144,DBSCAN,{'eps': 4.0},5,47,23,0.6967376559089434
145,DBSCAN,{'eps': 4.1},5,47,23,0.6967376559089434
146,DBSCAN,{'eps': 4.2},5,47,23,0.6967376559089434
147,DBSCAN,{'eps': 4.3},5,47,23,0.6967376559089434
148,DBSCAN,{'eps': 4.4},5,43,23,0.7039116443073766
149,DBSCAN,{'eps': 4.5},5,43,23,0.7039116443073766
150,DBSCAN,{'eps': 4.6},5,41,23,0.7049942827343102
151,DBSCAN,{'eps': 4.7},5,40,23,0.7077556624613545
152,DBSCAN,{'eps': 4.8},5,40,23,0.7077556624613545
153,DBSCAN,{'eps': 4.9},5,40,23,0.7077556624613545
154,DBSCAN,{'eps': 5.0},5,40,23,0.7077556624613545
155,DBSCAN,{'eps': 5.1},5,40,23,0.7077556624613545
156,DBSCAN,{'eps': 5.2},5,40,22,0.6890253117115381
157,DBSCAN,{'eps': 5.3},5,40,22,0.6890253117115381
158,DBSCAN,{'eps': 5.4},5,40,22,0.689232852197933
159,DBSCAN,{'eps': 5.5},5,40,21,0.6723216584321708
160,DBSCAN,{'eps': 5.6},5,40,20,0.6603119600666948
161,DBSCAN,{'eps': 5.7},5,40,20,0.6603119600666948
162,DBSCAN,{'eps': 5.8},5,40,20,0.6603119600666948
163,DBSCAN,{'eps': 5.9},5,41,17,0.5669523635722621
164,DBSCAN,{'eps': 6.0},5,45,16,0.5458594600040819
165,DBSCAN,{'eps': 6.1},5,45,14,0.5107507412482406
166,DBSCAN,{'eps': 6.2},5,136,10,0.3637496039260799
167,DBSCAN,{'eps': 6.3},5,136,10,0.3637496039260799
168,DBSCAN,{'eps': 6.4},2,156,7,0.29475459332624526
169,DBSCAN,{'eps': 6.5},2,156,7,0.29475459332624526
170,DBSCAN,{'eps': 6.6},2,176,6,0.2453144948998443
171,DBSCAN,{'eps': 6.7},2,189,4,0.21632756645198503
172,DBSCAN,{'eps': 6.8},2,255,2,0.04556158193821139
173,DBSCAN,{'eps': 6.9},2,255,2,0.04556158193821139
174,HDBSCAN,{},5,33,28,0.6229396126237883
175,BIRCH,{'n_clusters': 10},8,55,10,0.4123349052603325
176,BIRCH,{'n_clusters': 11},8,55,11,0.43822756197928026
177,BIRCH,{'n_clusters': 12},8,55,12,0.463163050250291
178,BIRCH,{'n_clusters': 13},8,55,13,0.48146620310567384
179,BIRCH,{'n_clusters': 14},5,50,14,0.497683727626062
180,BIRCH,{'n_clusters': 15},5,50,15,0.516529515183802
181,BIRCH,{'n_clusters': 16},5,50,16,0.5263111116079167
182,BIRCH,{'n_clusters': 17},5,50,17,0.548314588459082
183,BIRCH,{'n_clusters': 18},5,50,18,0.5768059194075347
184,BIRCH,{'n_clusters': 19},2,50,19,0.5874512616878569
185,BIRCH,{'n_clusters': 20},2,50,20,0.6102520955256405
186,BIRCH,{'n_clusters': 21},2,50,21,0.6309966194187757
187,BIRCH,{'n_clusters': 22},2,50,22,0.6495894000963381
188,BIRCH,{'n_clusters': 23},2,50,23,0.6663677057678966
189,BIRCH,{'n_clusters': 24},2,50,24,0.6864556077612889
190,BIRCH,{'n_clusters': 25},2,44,25,0.7192839152122728
191,BIRCH,{'n_clusters': 26},2,44,26,0.7278575307855777
192,BIRCH,{'n_clusters': 27},2,40,27,0.7532782651960694
193,BIRCH,{'n_clusters': 28},2,40,28,0.7688594957166455
194,BIRCH,{'n_clusters': 29},2,40,29,0.7845566168384475
195,BIRCH,{'n_clusters': 30},1,40,30,0.7852951888643004
