NPC,Path,Width,Lenght,LiftPushSpeed,LiftRegularSpeed,RT1EntranceSpeed,RT1ExitSpeed,RT2EntranceSpeed,RT2ExitSpeed,EM1PushSpeed,EM1PushCycle,EM2PushSpeed,EM2PushCycle,Product,Chipboard,Position_0,Position_2,Position_3,Position_4,Position_5,BR_BR2,BR_BR3,Color_black,Color_chary,Color_none,Color_oack,Color_white,Parts_1,Parts_2
17.0,0,724.0,264.0,18.0,16.0,18.0,18.0,18.0,18.0,22.0,18.0,18.0,18.0,BR3-IRW118-D,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0
17.0,0,724.0,264.0,18.0,16.0,18.0,18.0,18.0,18.0,22.0,18.0,18.0,18.0,BR3-IRW118-K,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0
17.0,1,500.0,264.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,BR3-IRW116-D,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0
17.0,1,500.0,264.0,18.0,16.0,18.0,18.0,22.0,18.0,18.0,18.0,22.0,12.0,BR3-IRW116-K,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0
16.0,1,1080.0,312.0,26.0,20.0,26.0,17.0,18.0,18.0,27.0,17.0,21.0,18.0,BR3-IRW311,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0
12.0,0,800.0,475.0,18.0,12.0,18.0,20.0,13.0,13.0,18.0,13.0,20.0,13.0,BR3-IRW213,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0
19.0,0,669.0,308.0,24.0,20.0,24.0,20.0,18.0,18.0,24.0,20.0,18.0,18.0,BR3-IRW119,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0
11.0,0,1697.0,396.0,26.0,11.0,26.0,26.0,12.0,18.0,26.0,12.0,26.0,12.0,BR2-IRW903,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0
18.0,0,600.0,200.0,20.0,20.0,18.0,20.0,18.0,18.0,18.0,18.0,18.0,18.0,BR3-IRW902,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0
18.0,0,382.0,519.0,18.0,18.0,19.0,18.0,19.0,19.0,18.0,19.0,18.0,19.0,BR3-IRW403,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0
